type(String),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String),ident(String),name(String),elevation_ft(Integer)
small_airport,NA,US,US-MO,Perry,MO11,MO11,"39.4005012512207, -91.58290100097656",MO11,Barron Aviation Airport,745
heliport,NA,US,US-MO,Chesterfield,MO12,MO12,"38.65119934082031, -90.50370025634766",MO12,St Lukes Hospital West Heliport,505
small_airport,NA,US,US-MO,Fair Grove,MO14,MO14,"37.422778, -93.208611",MO14,Marshall Field,1166
small_airport,NA,US,US-MO,Avilla,MO16,MO16,"37.16389846801758, -94.16829681396484",MO16,Baugh Flight Park Ultralightport,984
small_airport,NA,US,US-MO,Watson,MO17,MO17,"40.47919845581055, -95.64610290527344",MO17,Garst Airport,905
heliport,NA,US,US-MO,Centertown,MO19,MO19,"38.61309814453125, -92.41210174560547",MO19,American Legion-Village of Centertown Heliport,805
small_airport,NA,US,US-MO,Springfield,MO2,MO2,"37.175201416015625, -93.12889862060547",MO2,Flying Bar H Ranch Airport,1375
heliport,NA,US,US-MO,Nevada,MO20,MO20,"37.83000183105469, -94.36027526855469",MO20,Nevada Regional Medical Center Heliport,856
heliport,NA,US,US-MO,Kansas City,MO21,MO21,"38.936100006103516, -94.60440063476562",MO21,St Joseph Health Center Heliport,900
small_airport,NA,US,US-MO,Carl Junction,MO22,MO22,"37.19169998168945, -94.54969787597656",MO22,Jta Asbell Field,940
small_airport,NA,US,US-MO,California,MO23,MO23,"38.633399963378906, -92.53350067138672",MO23,Phillips Field,820
small_airport,NA,US,US-MO,Craig,MO24,MO24,"40.142799377441406, -95.38829803466797",MO24,Lonesome Sky Airport,868
small_airport,NA,US,US-MO,Kearney,MO26,MO26,"39.39390182495117, -94.35299682617188",MO26,Peterson Farm Airport,860
small_airport,NA,US,US-MO,Cameron,MO27,MO27,"39.73529815673828, -94.19270324707031",MO27,Ccc Airport,984
heliport,NA,US,US-MO,Blue Springs,MO28,MO28,"39.027000427246094, -94.26360321044922",MO28,Blue Springs Heliport,287
small_airport,NA,US,US-MO,Pleasant Hill,MO29,MO29,"38.77220153808594, -94.33489990234375",MO29,Inter-State Airport,960
small_airport,NA,US,US-MO,Gravois Mills,MO30,MO30,"38.269901, -92.8115",MO30,Harbour Airport,823
small_airport,NA,US,US-MO,Rogersville,MO31,MO31,"37.04949951171875, -93.07240295410156",MO31,Malina Airport,1350
small_airport,NA,US,US-MO,Golden,MO32,MO32,"36.52870178222656, -93.6769027709961",MO32,Table Rock Airport,1053
small_airport,NA,US,US-MO,Carthage,MO33,MO33,"37.12919998168945, -94.25379943847656",MO33,Barlet's Base Airport,1068
small_airport,NA,US,US-MO,Everton,MO34,MO34,"37.35969924926758, -93.6624984741211",MO34,Ellingsen Field,1115
small_airport,NA,US,US-MO,Eolia,MO35,MO35,"39.212799072265625, -90.91739654541016",MO35,Harvey Airport,710
small_airport,NA,US,US-MO,Foristell,MO36,MO36,"38.832000732421875, -90.92510223388672",MO36,Riddle's Roost Airport,650
small_airport,NA,US,US-MO,Harrisonville,MO37,MO37,"38.72309875488281, -94.38189697265625",MO37,Ridgeview Ranch Airport,1000
heliport,NA,US,US-MO,Branson,MO38,MO38,"36.6383, -93.2824",MO38,Table Rock Heliport,1047
small_airport,NA,US,US-MO,Silex,MO39,MO39,"39.113399505615234, -91.04180145263672",MO39,Baldwin Airport,505
heliport,NA,US,US-MO,Salem,MO40,MO40,"37.652000427246094, -91.56880187988281",MO40,Salem Memorial Hospital Heliport,1170
heliport,NA,US,US-MO,Troy,MO41,MO41,"38.982398986816406, -90.96330261230469",MO41,Landing Pad Heliport,520
small_airport,NA,US,US-MO,Montgomery City,MO43,MO43,"38.96849822998047, -91.44349670410156",MO43,Wilkins Airport,835
heliport,NA,US,US-MO,St Charles,MO44,MO44,"38.78340148925781, -90.4834976196289",MO44,St Joseph Health Center Heliport,530
small_airport,NA,US,US-MO,Montgomery City,MO45,MO45,"38.8922004699707, -91.56600189208984",MO45,Sky-Vu Airport,800
small_airport,NA,US,US-MO,Louisana,MO46,MO46,"39.520301818847656, -91.17179870605469",MO46,Walker Airport,510
heliport,NA,US,US-MO,Mexico,MO47,MO47,"39.174800872802734, -91.87930297851562",MO47,Air Ambulance Heliport,764
heliport,NA,US,US-MO,St. Joseph,MU43,MU43,"39.771771, -94.772373",MO48,Mosaic Life Care Heliport,923
small_airport,NA,US,US-MO,Joplin,MO49,MO49,"36.970298767089844, -94.57669830322266",MO49,Five Mile Airport,1100
small_airport,NA,US,US-MO,Van Buren,MO5,MO5,"37.00699996948242, -91.0071029663086",MO5,Bollinger-Crass Memorial Airport,647
heliport,NA,US,US-MO,Cape Girardeau,MO50,MO50,"37.31060028076172, -89.57530212402344",MO50,St Francis Hospital Heliport,421
small_airport,NA,US,US-MO,Weston,MO51,MO51,"39.42359924316406, -94.84770202636719",MO51,Schaback Strip,1000
small_airport,NA,US,US-MO,Wheatland,MO52,MO52,"37.86669921875, -93.38349914550781",MO52,Skyriders Airport,900
small_airport,NA,US,US-MO,Bethany,MO53,MO53,"40.233299255371094, -93.93360137939453",MO53,Meadows Airport,1010
small_airport,NA,US,US-MO,Dudley,MO54,MO54,"36.78200149536133, -90.08899688720703",MO54,Dudley Airport,310
heliport,NA,US,US-MO,St Louis,MO55,MO55,"38.622886, -90.239229",MO55,St Louis University Hospital Heliport,550
small_airport,NA,US,US-MO,Theodosia,MO56,MO56,"36.514198303222656, -92.64019775390625",MO56,Lost Mine Airport,820
small_airport,NA,US,US-MO,East Prairie,MO57,MO57,"36.707000732421875, -89.4666976928711",MO57,Henderson Mounds E B G Airport,295
small_airport,NA,US,US-MO,Fairdealing,MO58,MO58,"36.65840148925781, -90.6404037475586",MO58,Waldemer Flying W Ranch Airport,460
small_airport,NA,US,US-MO,Moscow Mills,MO59,MO59,"38.91450119018555, -90.90010070800781",MO59,K & N Field,500
heliport,NA,US,US-MO,St. Louis,MO60,MO60,"38.529444, -90.476666",MO60,SSM Health St. Clare Hospital-Fenton Heliport,559
small_airport,NA,US,US-MO,Golden,MO61,MO61,"36.55839920043945, -93.64189910888672",MO61,Bel-Voir Acres Airport,1139
small_airport,NA,US,US-MO,Sheridan,MO62,MO62,"40.51029968261719, -94.58159637451172",MO62,Hibbs Farm Airport,1150
heliport,NA,US,US-MO,Kansas City,MO63,MO63,"39.252201080322266, -94.64610290527344",MO63,Spelman/St. Luke's Hospital Heliport,1061
small_airport,NA,US,US-MO,Kimberling City,MO64,MO64,"36.609798431396484, -93.4446029663086",MO64,Kimberling Airport,1050
small_airport,NA,US,US-MO,Kirbyville,MO65,MO65,"36.58340072631836, -93.10299682617188",MO65,Misty Meadows Airport,940
